"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.5","1022.4","1029.6","2019-01-01 09:13","1014.6","2019-01-11 14:09","18.4","28.0","2019-01-11 11:23","12.8","2019-01-28 05:41","15.5","1.8","250","14.7","60","2019-01-31 19:24","447.4","222.8","19","4.5","2019-01-02 18:02","18.0","2019-01-02 21:56","149.5","2019-01-02 00:00","84","31.1","62.0","214.64","...","...","...","8.6"
"02","1018.6","1019.5","1027.4","2019-02-11 19:53","1012.1","2019-02-07 13:38","19.4","28.2","2019-02-07 11:57","14.0","2019-02-02 06:00","16.7","1.6","270","9.4","80","2019-02-22 20:57","56.3","79.8","9","2.5","2019-02-07 21:06","6.0","2019-02-07 20:26","29.9","2019-02-24 00:00","85","45.1","66.4","252.61","...","...","...","8.3"
"03","1015.7","1016.6","1023.8","2019-03-23 22:09","1006.5","2019-03-28 16:23","19.9","30.1","2019-03-21 13:28","12.8","2019-03-08 00:56","16.3","2.0","270","14.7","360","2019-03-06 05:01","132.5","148.3","19","4.5","2019-03-29 23:26","10.5","2019-03-29 23:18","39.6","2019-03-07 00:00","81","48.6","79.7","306.21","...","...","...","8.1"
"04","1011.8","1012.7","1024.1","2019-04-01 08:40","1003.4","2019-04-30 15:32","23.8","32.2","2019-04-22 12:07","15.4","2019-04-01 02:24","20.8","1.8","110","12.3","130","2019-04-17 11:45","180.3","128.2","15","8.1","2019-04-27 19:10","16.9","2019-04-27 19:10","55.0","2019-04-27 00:00","84","87.4","143.5","462.26","...","...","...","7.2"
"05","1009.9","1010.8","1016.8","2019-05-03 10:30","1002.3","2019-05-17 16:26","23.9","32.5","2019-05-27 11:31","18.0","2019-05-02 14:23","20.9","1.6","140","11.1","360","2019-05-01 08:18","360.2","186.5","21","10.8","2019-05-15 16:28","24.0","2019-05-18 14:01","46.5","2019-05-12 00:00","84","63.8","56.9","334.87","...","...","...","9.2"
"06","1005.5","1006.4","1011.4","2019-06-05 22:39","997.6","2019-06-14 03:20","27.5","34.8","2019-06-30 13:38","21.0","2019-06-16 04:48","24.4","1.6","130","10.4","140","2019-06-25 13:53","180.8","99.9","15","6.9","2019-06-14 05:08","17.5","2019-06-01 13:58","51.6","2019-06-11 00:00","83","101.1","118.5","494.58","...","...","...","7.8"
"07","1004.6","1005.5","1009.8","2019-07-11 20:04","992.8","2019-07-18 14:06","29.5","35.1","2019-07-21 11:56","25.1","2019-07-24 05:26","25.5","2.0","110","13.4","140","2019-07-31 14:57","67.1","24.5","12","6.0","2019-07-02 19:24","12.5","2019-07-02 18:55","19.5","2019-07-02 00:00","79","133.6","204.3","670.51","...","...","...","6.2"
"08","1002.6","1003.5","1011.7","2019-08-26 20:36","983.1","2019-08-09 16:48","29.0","36.9","2019-08-10 12:23","23.6","2019-08-20 02:39","25.5","2.2","110","18.6","140","2019-08-24 18:34","218.0","93.6","18","10.0","2019-08-08 20:56","27.0","2019-08-08 20:18","58.0","2019-08-08 00:00","81","116.7","193.1","615.93","...","...","...","6.4"
"09","1008.8","1009.7","1019.1","2019-09-24 08:59","992.4","2019-09-30 22:23","26.8","33.9","2019-09-14 12:57","21.9","2019-09-25 00:35","22.6","2.4","280","22.9","100","2019-09-30 15:44","514.6","115.0","21","25.5","2019-09-29 03:21","76.5","2019-09-29 02:45","137.9","2019-09-29 00:00","79","78.3","127.7","427.70","...","...","...","7.5"
"10","1014.8","1015.7","1022.9","2019-10-15 09:47","995.2","2019-10-01 00:01","24.4","34.9","2019-10-01 12:30","18.5","2019-10-18 04:44","20.1","2.0","110","13.5","280","2019-10-01 11:26","228.7","108.2","15","12.0","2019-10-06 00:41","26.0","2019-10-31 10:55","107.8","2019-10-31 00:00","78","80.5","127.8","383.61","...","...","...","7.0"
"11","1017.4","1018.3","1025.5","2019-11-28 20:18","1009.7","2019-11-06 14:20","21.2","30.6","2019-11-23 13:01","15.8","2019-11-28 21:31","17.5","1.9","280","13.0","90","2019-11-07 13:52","136.1","173.3","16","3.5","2019-11-20 17:38","11.0","2019-11-20 18:29","51.5","2019-11-20 00:00","80","38.3","62.5","217.85","...","...","...","8.2"
"12","1020.3","1021.3","1030.8","2019-12-31 09:51","1011.5","2019-12-22 14:44","18.8","27.7","2019-12-22 11:38","13.1","2019-12-03 04:26","15.1","1.8","260","13.4","110","2019-12-26 19:32","162.6","208.4","17","22.2","2019-12-02 00:00","22.2","2019-12-02 00:00","56.1","2019-12-06 00:00","80","45.8","74.1","217.03","...","...","...","8.2"
