"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","928.7","...","937.7","2020-01-01 08:44","918.5","2020-01-26 17:50","12.2","22.7","2020-01-23 10:51","2.3","2020-01-30 20:23","...","1.4","311","14.8","282","2020-01-30 04:02","124.5","...","22","...","...","...","...","20.5","2020-01-12 00:00","97","...","...","...","...","...","...","..."
"02","930.6","...","937.3","2020-02-23 09:33","923.1","2020-02-15 15:12","12.8","25.1","2020-02-25 14:53","2.7","2020-02-17 18:03","...","1.6","2","12.9","120","2020-02-21 11:55","344.0","...","20","...","...","...","...","74.0","2020-02-22 00:00","94","...","...","...","...","...","...","..."
"03","925.8","...","932.6","2020-03-16 09:11","916.3","2020-03-09 14:53","15.1","26.3","2020-03-22 11:23","7.7","2020-03-14 22:16","...","1.3","138","11.4","314","2020-03-28 22:10","245.0","...","23","...","...","...","...","32.5","2020-03-02 00:00","95","...","...","...","...","...","...","..."
"04","926.6","...","931.1","2020-04-28 08:41","920.9","2020-04-12 02:47","15.1","27.4","2020-04-19 14:27","6.6","2020-04-12 20:00","...","1.6","308","13.8","286","2020-04-12 23:59","289.0","...","21","...","...","...","...","60.0","2020-04-23 00:00","95","...","...","...","...","...","...","..."
"05","921.3","...","926.9","2020-05-13 08:55","914.5","2020-05-22 14:37","21.1","30.2","2020-05-31 09:06","16.6","2020-05-12 18:44","...","1.3","122","15.1","132","2020-05-17 12:29","431.0","...","24","...","...","...","...","67.0","2020-05-10 00:00","96","...","...","...","...","...","...","..."
"06","920.9","...","926.8","2020-06-14 22:27","917.0","2020-06-21 17:44","24.5","33.3","2020-06-27 11:24","20.0","2020-06-07 17:39","...","1.3","118","14.0","142","2020-06-13 14:49","113.0","...","9","...","...","...","...","64.0","2020-06-07 00:00","88","...","...","...","...","...","...","..."
"07","921.1","...","925.4","2020-07-21 09:19","916.1","2020-07-09 14:57","24.7","32.8","2020-07-24 12:47","20.3","2020-07-02 19:41","...","1.5","143","13.2","151","2020-07-31 13:57","95.5","...","14","...","...","...","...","19.0","2020-07-27 00:00","87","...","...","...","...","...","...","..."
"08","920.2","...","928.3","2020-08-12 21:46","914.3","2020-08-26 17:11","23.9","32.8","2020-08-24 14:33","20.4","2020-08-09 04:52","...","1.8","146","14.6","127","2020-08-10 17:22","248.5","...","14","...","...","...","...","155.0","2020-08-22 00:00","86","...","...","...","...","...","...","..."
"09","922.2","...","927.0","2020-09-19 09:21","913.6","2020-09-01 03:05","21.8","32.0","2020-09-18 08:39","15.5","2020-09-30 09:34","...","1.6","302","13.8","275","2020-09-01 00:01","177.5","...","19","...","...","...","...","46.0","2020-09-20 00:00","86","...","...","...","...","...","...","..."
"10","926.4","...","932.1","2020-10-30 21:18","919.4","2020-10-22 04:41","18.3","28.2","2020-10-03 10:15","12.8","2020-10-23 11:34","...","1.8","303","13.1","284","2020-10-22 10:25","1712.0","...","27","...","...","...","...","246.5","2020-10-16 00:00","95","...","...","...","...","...","...","..."
"11","929.8","...","935.1","2020-11-11 09:15","923.1","2020-11-19 15:19","17.0","26.9","2020-11-20 09:15","12.2","2020-11-04 04:12","...","1.6","145","14.9","122","2020-11-07 09:46","1615.0","...","29","...","...","...","...","192.5","2020-11-28 00:00","95","...","...","...","...","...","...","..."
"12","929.7","...","935.5","2020-12-31 09:12","922.8","2020-12-29 14:34","13.1","24.4","2020-12-27 11:03","0.6","2020-12-31 07:35","...","1.7","307","17.5","320","2020-12-30 16:22","1757.5","...","23","...","...","...","...","300.5","2020-12-01 00:00","99","...","...","...","...","...","...","..."
