"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.6","...","1024.7","2020-01-01 09:35","1008.7","2020-01-27 05:07","17.9","28.2","2020-01-23 13:33","9.5","2020-01-31 06:51","...","1.9","4","12.5","5","2020-01-12 09:22","19.5","...","2","...","...","...","...","18.0","2020-01-26 00:00","78","...","...","...","...","...","...","..."
"02","1017.4","...","1024.8","2020-02-21 09:12","1009.0","2020-02-15 14:32","18.7","28.8","2020-02-25 14:26","9.1","2020-02-01 05:52","...","1.9","1","14.3","11","2020-02-16 12:29","5.5","...","3","...","...","...","...","3.5","2020-02-16 00:00","76","...","...","...","...","...","...","..."
"03","1012.2","...","1018.6","2020-03-16 10:11","1002.4","2020-03-09 15:04","21.7","31.2","2020-03-09 12:51","14.2","2020-03-05 06:05","...","1.9","1","13.7","208","2020-03-09 11:20","44.5","...","7","...","...","...","...","25.0","2020-03-10 00:00","78","...","...","...","...","...","...","..."
"04","1012.6","...","1017.6","2020-04-02 09:42","1007.2","2020-04-19 15:33","21.8","32.0","2020-04-19 12:21","14.9","2020-04-13 06:07","...","1.9","4","12.9","360","2020-04-01 12:02","38.0","...","9","...","...","...","...","12.5","2020-04-06 00:00","76","...","...","...","...","...","...","..."
"05","1006.2","...","1012.1","2020-05-01 09:32","999.6","2020-05-22 14:50","27.5","33.9","2020-05-10 11:41","22.4","2020-05-19 18:03","...","1.8","1","12.4","233","2020-05-26 20:52","258.5","...","11","...","...","...","...","51.0","2020-05-22 00:00","82","...","...","...","...","...","...","..."
"06","1005.9","...","1011.3","2020-06-15 00:11","1001.6","2020-06-30 16:21","29.5","35.0","2020-06-29 12:52","23.2","2020-06-08 17:53","...","2.1","127","12.9","268","2020-06-09 16:17","72.0","...","7","...","...","...","...","57.5","2020-06-08 00:00","78","...","...","...","...","...","...","..."
"07","1005.6","...","1010.4","2020-07-21 08:55","1001.2","2020-07-14 16:14","30.3","35.5","2020-07-13 15:21","25.3","2020-07-02 13:46","...","2.0","186","17.3","247","2020-07-02 13:33","85.5","...","8","...","...","...","...","28.0","2020-07-26 00:00","73","...","...","...","...","...","...","..."
"08","1005.0","...","1013.2","2020-08-12 21:11","999.3","2020-08-25 15:02","29.3","35.4","2020-08-01 11:16","25.0","2020-08-28 07:11","...","1.9","6","18.3","190","2020-08-27 11:44","97.0","...","14","...","...","...","...","26.5","2020-08-17 00:00","78","...","...","...","...","...","...","..."
"09","1006.9","...","1012.6","2020-09-19 08:41","999.2","2020-09-01 03:25","28.4","35.3","2020-09-07 12:15","23.4","2020-09-28 04:13","...","1.8","2","10.8","360","2020-09-21 14:13","0.0","...","0","...","...","...","...","0.0","2020-09-26 00:00","71","...","...","...","...","...","...","..."
"10","1009.4","...","1015.4","2020-10-29 08:32","1002.8","2020-10-22 03:26","25.7","33.3","2020-10-04 13:11","19.5","2020-10-23 07:52","...","2.5","2","17.8","21","2020-10-22 19:06","1.0","...","1","...","...","...","...","1.0","2020-10-23 00:00","73","...","...","...","...","...","...","..."
"11","1013.2","...","1018.5","2020-11-28 09:13","1005.6","2020-11-06 18:15","23.7","31.0","2020-11-21 12:12","18.6","2020-11-10 05:51","...","2.0","6","13.9","14","2020-11-28 14:46","1.0","...","2","...","...","...","...","0.5","2020-11-13 00:00","76","...","...","...","...","...","...","..."
"12","1014.5","...","1019.2","2020-12-15 09:23","1008.7","2020-12-29 14:35","19.2","26.2","2020-12-01 12:01","15.9","2020-12-21 06:48","...","2.8","10","16.2","32","2020-12-03 10:18","42.0","...","6","...","...","...","...","25.0","2020-12-09 00:00","80","...","...","...","...","...","...","..."
