"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.6","1020.9","1025.4","2019-01-01 09:39","1015.0","2019-01-14 14:31","18.0","26.8","2019-01-31 13:10","14.6","2019-01-22 04:27","14.8","5.3","30","21.3","50","2019-01-21 00:48","12.0","36.6","4","1.0","2019-01-05 15:20","2.5","2019-01-05 20:37","6.0","2019-01-05 00:00","82","72.3","81.7","254.84","...","...","...","7.9"
"02","1017.3","1018.7","1024.9","2019-02-12 09:26","1011.6","2019-02-27 15:40","20.3","28.1","2019-02-19 12:39","16.5","2019-02-24 10:26","17.4","4.1","20","20.1","50","2019-02-01 10:47","28.5","18.9","4","6.0","2019-02-18 23:35","8.0","2019-02-03 10:43","10.1","2019-02-18 00:00","84","74.3","85.1","283.92","...","...","...","7.7"
"03","1014.3","1015.6","1020.6","2019-03-15 10:19","1007.2","2019-03-03 05:44","21.5","28.5","2019-03-28 12:35","15.8","2019-03-08 01:11","18.1","3.8","30","21.5","50","2019-03-23 21:36","111.5","79.4","11","8.8","2019-03-09 10:28","17.5","2019-03-05 17:46","22.1","2019-03-05 00:00","82","97.5","130.9","374.57","...","...","...","6.9"
"04","1011.3","1012.6","1020.0","2019-04-01 10:11","1004.7","2019-04-30 15:59","24.3","30.9","2019-04-29 11:29","19.3","2019-04-16 04:24","21.7","3.2","20","19.6","290","2019-04-19 02:59","114.8","31.5","7","11.5","2019-04-19 02:56","40.5","2019-04-19 02:17","72.8","2019-04-19 00:00","85","122.0","170.0","475.74","...","...","...","6.3"
"05","1008.7","1010.0","1014.5","2019-05-03 10:59","1003.0","2019-05-18 15:22","25.8","32.0","2019-05-19 12:22","20.6","2019-05-06 20:40","23.0","3.4","30","17.6","30","2019-05-07 08:01","77.9","54.5","9","8.0","2019-05-20 13:37","24.5","2019-05-20 13:29","25.6","2019-05-20 00:00","85","116.0","119.1","446.54","...","...","...","7.7"
"06","1005.6","1006.9","1011.5","2019-06-06 09:48","999.1","2019-06-14 01:26","28.5","33.6","2019-06-06 11:39","25.0","2019-06-26 06:23","26.3","2.7","180","13.6","250","2019-06-14 02:26","92.7","42.3","16","9.0","2019-06-17 23:01","16.0","2019-06-17 22:43","19.2","2019-06-24 00:00","88","123.1","173.7","521.90","11","14","2019-06-21 13:00","7.0"
"07","1004.7","1006.0","1010.3","2019-07-11 22:50","993.8","2019-07-17 16:58","29.1","34.3","2019-07-30 11:33","24.6","2019-07-21 14:00","26.3","2.9","190","17.6","10","2019-07-17 15:39","178.5","46.1","12","10.5","2019-07-21 13:24","30.5","2019-07-21 13:10","38.4","2019-07-21 00:00","85","145.2","203.9","556.78","...","...","...","6.8"
"08","1002.1","1003.4","1010.4","2019-08-26 21:31","986.5","2019-08-24 16:05","28.5","34.8","2019-08-06 11:14","24.8","2019-08-15 05:55","26.3","3.1","20","27.0","150","2019-08-25 02:11","169.6","42.6","10","9.5","2019-08-18 05:32","34.0","2019-08-18 05:24","54.1","2019-08-18 00:00","88","130.5","177.2","485.42","...","...","...","7.2"
"09","1007.6","1008.9","1017.2","2019-09-24 09:15","998.9","2019-09-30 14:56","27.8","33.6","2019-09-11 12:36","24.2","2019-09-22 03:29","23.7","3.9","30","22.9","30","2019-09-19 11:37","0.6","4.0","2","0.2","2019-09-29 05:00","0.4","2019-09-10 16:12","0.4","2019-09-10 00:00","79","164.8","216.4","513.75","...","...","...","5.6"
