"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.0","...","1021.2","2018-01-13 09:12","1003.5","2018-01-22 13:55","17.1","28.0","2018-01-08 10:49","5.3","2018-01-13 06:46","...","2.1","3","12.6","358","2018-01-09 03:41","59.5","...","11","...","...","...","...","20.0","2018-01-09 00:00","81","...","...","...","...","...","...","..."
"02","1012.3","...","1020.0","2018-02-12 09:57","1005.6","2018-02-21 15:40","16.5","31.9","2018-02-15 14:10","6.8","2018-02-06 07:14","...","2.3","2","10.6","7","2018-02-02 17:10","21.5","...","8","...","...","...","...","7.0","2018-02-08 00:00","79","...","...","...","...","...","...","..."
"03","1009.5","...","1016.5","2018-03-11 09:07","1003.0","2018-03-19 14:50","20.8","31.4","2018-03-05 13:07","9.9","2018-03-10 05:56","...","1.8","6","12.0","7","2018-03-21 12:45","40.5","...","5","...","...","...","...","23.0","2018-03-15 00:00","73","...","...","...","...","...","...","..."
"04","1007.7","...","1016.0","2018-04-07 09:33","1000.5","2018-04-23 16:13","24.3","33.1","2018-04-14 12:41","13.6","2018-04-08 05:55","...","1.6","1","10.7","315","2018-04-06 13:56","9.0","...","2","...","...","...","...","7.5","2018-04-17 00:00","72","...","...","...","...","...","...","..."
"05","1005.1","...","1011.8","2018-05-04 22:00","1000.3","2018-05-25 15:58","28.0","35.2","2018-05-28 12:31","20.8","2018-05-10 04:30","...","1.6","294","10.9","244","2018-05-06 15:38","43.0","...","3","...","...","...","...","29.0","2018-05-09 00:00","74","...","...","...","...","...","...","..."
"06","1000.0","...","1006.7","2018-06-25 22:30","988.7","2018-06-15 03:52","27.9","35.7","2018-06-06 12:15","23.2","2018-06-27 16:40","...","1.8","78","12.8","177","2018-06-17 12:53","461.5","...","17","...","...","...","...","144.5","2018-06-19 00:00","79","...","...","...","...","...","...","..."
"07","999.1","...","1003.5","2018-07-27 22:22","992.7","2018-07-11 05:29","28.0","36.0","2018-07-18 14:00","22.9","2018-07-04 05:57","...","1.6","149","11.8","2","2018-07-10 14:44","492.5","...","22","...","...","...","...","127.0","2018-07-02 00:00","81","...","...","...","...","...","...","..."
"08","997.5","...","1007.4","2018-08-31 09:50","988.3","2018-08-23 16:10","27.3","34.8","2018-08-04 11:29","21.7","2018-08-23 20:28","...","2.0","158","18.5","175","2018-08-23 16:14","935.5","...","26","...","...","...","...","415.5","2018-08-24 00:00","82","...","...","...","...","...","...","..."
"09","1002.4","...","1010.0","2018-09-17 22:48","992.5","2018-09-15 16:22","27.6","34.4","2018-09-23 12:37","21.1","2018-09-30 04:54","...","1.6","9","13.6","3","2018-09-29 09:35","66.5","...","6","...","...","...","...","36.5","2018-09-08 00:00","79","...","...","...","...","...","...","..."
"10","1007.8","...","1014.0","2018-10-20 09:37","1001.4","2018-10-05 14:41","24.4","32.5","2018-10-01 11:18","15.7","2018-10-29 06:33","...","1.5","9","13.7","25","2018-10-04 16:18","15.5","...","5","...","...","...","...","6.5","2018-10-10 00:00","77","...","...","...","...","...","...","..."
"11","1010.4","...","1015.8","2018-11-29 09:54","1004.6","2018-11-02 01:55","22.9","31.1","2018-11-03 12:55","16.0","2018-11-24 03:40","...","1.5","1","11.2","33","2018-11-25 20:44","3.0","...","3","...","...","...","...","2.0","2018-11-28 00:00","84","...","...","...","...","...","...","..."
"12","1012.1","...","1019.3","2018-12-31 09:13","1004.0","2018-12-26 14:02","20.6","31.1","2018-12-06 14:56","11.0","2018-12-30 06:43","...","2.1","3","10.5","347","2018-12-27 15:58","0.0","...","0","...","...","...","...","0.0","2018-12-19 00:00","77","...","...","...","...","...","...","..."
